rodada,qtd_torres,qtd_conexoes,resultado_z3,phi3_estruturado,status_estruturado,phi3_natural,status_natural
1,13,17,SAT,SAT,CORRETO,UNSAT,ERRADO
2,9,13,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
3,10,15,SAT,SAT,CORRETO,UNSAT,ERRADO
4,16,30,UNSAT,SAT,ERRADO,UNSAT,CORRETO
5,12,23,SAT,UNSAT,ERRADO,UNSAT,ERRADO
6,19,48,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
7,15,24,SAT,SAT,CORRETO,UNSAT,ERRADO
8,16,31,SAT,UNSAT,ERRADO,UNSAT,ERRADO
9,11,15,SAT,SAT,CORRETO,UNSAT,ERRADO
10,9,8,SAT,SAT,CORRETO,UNSAT,ERRADO
11,6,5,SAT,SAT,CORRETO,UNSAT,ERRADO
12,11,22,UNSAT,SAT,ERRADO,UNSAT,CORRETO
13,14,24,SAT,SAT,CORRETO,UNSAT,ERRADO
14,16,28,SAT,UNSAT,ERRADO,UNSAT,ERRADO
15,7,6,SAT,SAT,CORRETO,SAT,CORRETO
16,9,16,SAT,SAT,CORRETO,UNSAT,ERRADO
17,11,14,SAT,SAT,CORRETO,UNSAT,ERRADO
18,13,26,UNSAT,SAT,ERRADO,UNSAT,CORRETO
19,11,14,SAT,SAT,CORRETO,UNSAT,ERRADO
20,20,43,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
