rodada,qtd_torres,qtd_conexoes,resultado_z3,phi3_estruturado,status_estruturado,phi3_natural,status_natural
1,3,2,SAT,SAT,CORRETO,SAT,CORRETO
2,12,20,SAT,SAT,CORRETO,UNSAT,ERRADO
3,11,15,SAT,UNSAT,ERRADO,UNSAT,ERRADO
4,8,9,SAT,SAT,CORRETO,UNSAT,ERRADO
5,20,41,SAT,UNSAT,ERRADO,UNSAT,ERRADO
6,20,49,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
7,15,22,SAT,SAT,CORRETO,UNSAT,ERRADO
8,7,8,SAT,SAT,CORRETO,UNSAT,ERRADO
9,18,34,SAT,UNSAT,ERRADO,UNSAT,ERRADO
10,9,13,SAT,SAT,CORRETO,UNSAT,ERRADO
11,3,2,SAT,SAT,CORRETO,SAT,CORRETO
12,12,17,SAT,UNSAT,ERRADO,UNSAT,ERRADO
13,8,9,SAT,SAT,CORRETO,UNSAT,ERRADO
14,9,11,SAT,SAT,CORRETO,UNSAT,ERRADO
15,10,11,SAT,SAT,CORRETO,UNSAT,ERRADO
16,7,9,SAT,SAT,CORRETO,UNSAT,ERRADO
17,8,9,SAT,SAT,CORRETO,UNSAT,ERRADO
18,4,4,SAT,SAT,CORRETO,UNSAT,ERRADO
19,13,25,SAT,UNSAT,ERRADO,UNSAT,ERRADO
20,5,4,SAT,SAT,CORRETO,SAT,CORRETO
