rodada,qtd_torres,qtd_conexoes,resultado_z3,phi3_estruturado,status_estruturado,phi3_natural,status_natural
1,19,37,SAT,UNSAT,ERRADO,UNSAT,ERRADO
2,5,5,SAT,SAT,CORRETO,SAT,CORRETO
3,7,10,SAT,SAT,CORRETO,UNSAT,ERRADO
4,4,4,SAT,SAT,CORRETO,UNSAT,ERRADO
5,9,11,SAT,SAT,CORRETO,UNSAT,ERRADO
6,16,27,SAT,UNSAT,ERRADO,UNSAT,ERRADO
7,16,33,SAT,UNSAT,ERRADO,UNSAT,ERRADO
8,16,32,SAT,UNSAT,ERRADO,UNSAT,ERRADO
9,7,10,SAT,SAT,CORRETO,UNSAT,ERRADO
10,14,24,SAT,UNSAT,ERRADO,UNSAT,ERRADO
11,8,7,SAT,SAT,CORRETO,SAT,CORRETO
12,5,4,SAT,SAT,CORRETO,SAT,CORRETO
13,15,27,SAT,SAT,CORRETO,UNSAT,ERRADO
14,12,18,SAT,SAT,CORRETO,UNSAT,ERRADO
15,17,23,SAT,SAT,CORRETO,UNSAT,ERRADO
16,19,39,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
17,12,17,SAT,SAT,CORRETO,UNSAT,ERRADO
18,8,9,SAT,SAT,CORRETO,UNSAT,ERRADO
19,11,17,SAT,SAT,CORRETO,UNSAT,ERRADO
20,5,4,SAT,SAT,CORRETO,UNSAT,ERRADO
