rodada,qtd_torres,qtd_conexoes,resultado_z3,phi3_estruturado,status_estruturado,phi3_natural,status_natural
1,17,36,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
2,14,26,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
3,20,43,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
4,14,22,SAT,SAT,CORRETO,UNSAT,ERRADO
5,16,39,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
6,13,29,UNSAT,SAT,ERRADO,UNSAT,CORRETO
7,13,23,SAT,SAT,CORRETO,UNSAT,ERRADO
8,6,8,SAT,SAT,CORRETO,UNSAT,ERRADO
9,12,16,SAT,UNSAT,ERRADO,UNSAT,ERRADO
10,10,14,SAT,UNSAT,ERRADO,UNSAT,ERRADO
11,11,16,SAT,UNSAT,ERRADO,UNSAT,ERRADO
12,20,41,SAT,UNSAT,ERRADO,UNSAT,ERRADO
13,8,10,SAT,SAT,CORRETO,UNSAT,ERRADO
14,4,3,SAT,SAT,CORRETO,UNSAT,ERRADO
15,19,39,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
16,8,10,SAT,SAT,CORRETO,UNSAT,ERRADO
17,13,24,SAT,SAT,CORRETO,UNSAT,ERRADO
18,18,41,UNSAT,SAT,ERRADO,UNSAT,CORRETO
19,11,14,SAT,SAT,CORRETO,UNSAT,ERRADO
20,3,2,SAT,SAT,CORRETO,SAT,CORRETO
