rodada,qtd_torres,qtd_conexoes,resultado_z3,phi3_estruturado,status_estruturado,phi3_natural,status_natural
1,10,15,SAT,UNSAT,ERRADO,UNSAT,ERRADO
2,10,16,SAT,SAT,CORRETO,UNSAT,ERRADO
3,7,11,SAT,SAT,CORRETO,UNSAT,ERRADO
4,19,39,SAT,UNSAT,ERRADO,UNSAT,ERRADO
5,18,31,SAT,UNSAT,ERRADO,UNSAT,ERRADO
6,8,13,SAT,UNSAT,ERRADO,UNSAT,ERRADO
7,9,12,SAT,UNSAT,ERRADO,UNSAT,ERRADO
8,7,9,SAT,SAT,CORRETO,UNSAT,ERRADO
9,8,9,SAT,SAT,CORRETO,UNSAT,ERRADO
10,3,2,SAT,SAT,CORRETO,SAT,CORRETO
11,18,41,UNSAT,SAT,ERRADO,UNSAT,CORRETO
12,5,4,SAT,SAT,CORRETO,UNSAT,ERRADO
13,14,24,SAT,UNSAT,ERRADO,UNSAT,ERRADO
14,13,23,SAT,SAT,CORRETO,UNSAT,ERRADO
15,4,3,SAT,SAT,CORRETO,SAT,CORRETO
16,7,6,SAT,UNSAT,ERRADO,SAT,CORRETO
17,19,47,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
18,17,42,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
19,16,30,SAT,UNSAT,ERRADO,UNSAT,ERRADO
20,4,3,SAT,SAT,CORRETO,SAT,CORRETO
