rodada,qtd_torres,qtd_conexoes,resultado_z3,phi3_estruturado,status_estruturado,phi3_natural,status_natural
1,20,47,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
2,15,25,SAT,UNSAT,ERRADO,UNSAT,ERRADO
3,12,22,SAT,SAT,CORRETO,UNSAT,ERRADO
4,10,12,SAT,UNSAT,ERRADO,UNSAT,ERRADO
5,19,37,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
6,8,10,SAT,UNSAT,ERRADO,UNSAT,ERRADO
7,18,42,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
8,12,18,SAT,UNSAT,ERRADO,UNSAT,ERRADO
9,14,26,SAT,UNSAT,ERRADO,UNSAT,ERRADO
10,18,29,SAT,UNSAT,ERRADO,UNSAT,ERRADO
11,10,13,SAT,UNSAT,ERRADO,UNSAT,ERRADO
12,3,2,SAT,SAT,CORRETO,SAT,CORRETO
13,16,40,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
14,11,15,SAT,SAT,CORRETO,UNSAT,ERRADO
15,18,34,SAT,UNSAT,ERRADO,UNSAT,ERRADO
16,13,23,SAT,SAT,CORRETO,UNSAT,ERRADO
17,7,6,SAT,SAT,CORRETO,SAT,CORRETO
18,18,39,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
19,13,23,SAT,SAT,CORRETO,UNSAT,ERRADO
20,3,3,SAT,SAT,CORRETO,SAT,CORRETO
