rodada,qtd_torres,qtd_conexoes,resultado_z3,phi3_estruturado,status_estruturado,phi3_natural,status_natural
1,17,40,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
2,17,33,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
3,18,36,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
4,20,46,SAT,UNSAT,ERRADO,UNSAT,ERRADO
5,8,11,SAT,SAT,CORRETO,UNSAT,ERRADO
6,18,37,SAT,UNSAT,ERRADO,UNSAT,ERRADO
7,16,30,SAT,UNSAT,ERRADO,UNSAT,ERRADO
8,18,41,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
9,14,25,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
10,6,6,SAT,SAT,CORRETO,UNSAT,ERRADO
11,10,17,SAT,UNSAT,ERRADO,UNSAT,ERRADO
12,10,14,SAT,UNSAT,ERRADO,UNSAT,ERRADO
13,11,16,SAT,UNSAT,ERRADO,UNSAT,ERRADO
14,10,13,SAT,SAT,CORRETO,UNSAT,ERRADO
15,17,42,UNSAT,SAT,ERRADO,UNSAT,CORRETO
16,20,42,SAT,UNSAT,ERRADO,UNSAT,ERRADO
17,4,3,SAT,SAT,CORRETO,UNSAT,ERRADO
18,14,22,SAT,SAT,CORRETO,UNSAT,ERRADO
19,20,44,SAT,UNSAT,ERRADO,UNSAT,ERRADO
20,18,40,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
