rodada,qtd_torres,qtd_conexoes,resultado_z3,phi3_estruturado,status_estruturado,phi3_natural,status_natural
1,3,2,SAT,SAT,CORRETO,SAT,CORRETO
2,13,17,SAT,SAT,CORRETO,UNSAT,ERRADO
3,17,34,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
4,16,36,SAT,UNSAT,ERRADO,UNSAT,ERRADO
5,19,35,SAT,UNSAT,ERRADO,UNSAT,ERRADO
6,10,12,SAT,SAT,CORRETO,UNSAT,ERRADO
7,14,20,SAT,SAT,CORRETO,UNSAT,ERRADO
8,10,14,SAT,UNSAT,ERRADO,UNSAT,ERRADO
9,11,17,SAT,UNSAT,ERRADO,UNSAT,ERRADO
10,13,25,SAT,SAT,CORRETO,UNSAT,ERRADO
11,9,14,SAT,UNSAT,ERRADO,UNSAT,ERRADO
12,12,18,SAT,UNSAT,ERRADO,UNSAT,ERRADO
13,5,6,SAT,SAT,CORRETO,UNSAT,ERRADO
14,8,9,SAT,SAT,CORRETO,UNSAT,ERRADO
15,14,18,SAT,SAT,CORRETO,UNSAT,ERRADO
16,17,38,UNSAT,SAT,ERRADO,UNSAT,CORRETO
17,18,40,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
18,19,32,SAT,UNSAT,ERRADO,UNSAT,ERRADO
19,15,28,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
20,12,21,SAT,SAT,CORRETO,UNSAT,ERRADO
