rodada,cenario_natural
1,"Você é o engenheiro chefe responsável por configurar uma nova rede de distribuição de torres GSM contendo 19 torres de transmissão, identificadas numericamente de 1 a 19.
Devido ao posicionamento geográfico, o seu mapeamento de topologia aponta as seguintes fronteiras imediatas:
- A torre 1 faz fronteira com a torre 2
- A torre 2 faz fronteira com a torre 3
- A torre 3 faz fronteira com a torre 4
- A torre 4 faz fronteira com a torre 5
- A torre 5 faz fronteira com a torre 6
- A torre 6 faz fronteira com a torre 7
- A torre 7 faz fronteira com a torre 8
- A torre 8 faz fronteira com a torre 9
- A torre 9 faz fronteira com a torre 10
- A torre 10 faz fronteira com a torre 11
- A torre 11 faz fronteira com a torre 12
- A torre 12 faz fronteira com a torre 13
- A torre 13 faz fronteira com a torre 14
- A torre 14 faz fronteira com a torre 15
- A torre 15 faz fronteira com a torre 16
- A torre 16 faz fronteira com a torre 17
- A torre 17 faz fronteira com a torre 18
- A torre 18 faz fronteira com a torre 19
- A torre 1 faz fronteira com a torre 8
- A torre 1 faz fronteira com a torre 10
- A torre 1 faz fronteira com a torre 19
- A torre 2 faz fronteira com a torre 7
- A torre 3 faz fronteira com a torre 10
- A torre 6 faz fronteira com a torre 13
- A torre 6 faz fronteira com a torre 16
- A torre 6 faz fronteira com a torre 17
- A torre 8 faz fronteira com a torre 11
- A torre 8 faz fronteira com a torre 15
- A torre 8 faz fronteira com a torre 19
- A torre 10 faz fronteira com a torre 12
- A torre 10 faz fronteira com a torre 17
- A torre 10 faz fronteira com a torre 18
- A torre 10 faz fronteira com a torre 19
- A torre 11 faz fronteira com a torre 19
- A torre 13 faz fronteira com a torre 17
- A torre 16 faz fronteira com a torre 18
- A torre 16 faz fronteira com a torre 19."
2,"Você é o engenheiro chefe responsável por configurar uma nova rede de distribuição de torres GSM contendo 5 torres de transmissão, identificadas numericamente de 1 a 5.
Devido ao posicionamento geográfico, o seu mapeamento de topologia aponta as seguintes fronteiras imediatas:
- A torre 1 faz fronteira com a torre 2
- A torre 2 faz fronteira com a torre 3
- A torre 3 faz fronteira com a torre 4
- A torre 4 faz fronteira com a torre 5
- A torre 1 faz fronteira com a torre 5."
3,"Você é o engenheiro chefe responsável por configurar uma nova rede de distribuição de torres GSM contendo 7 torres de transmissão, identificadas numericamente de 1 a 7.
Devido ao posicionamento geográfico, o seu mapeamento de topologia aponta as seguintes fronteiras imediatas:
- A torre 1 faz fronteira com a torre 2
- A torre 2 faz fronteira com a torre 3
- A torre 3 faz fronteira com a torre 4
- A torre 4 faz fronteira com a torre 5
- A torre 5 faz fronteira com a torre 6
- A torre 6 faz fronteira com a torre 7
- A torre 2 faz fronteira com a torre 4
- A torre 2 faz fronteira com a torre 7
- A torre 3 faz fronteira com a torre 5
- A torre 3 faz fronteira com a torre 7."
4,"Você é o engenheiro chefe responsável por configurar uma nova rede de distribuição de torres GSM contendo 4 torres de transmissão, identificadas numericamente de 1 a 4.
Devido ao posicionamento geográfico, o seu mapeamento de topologia aponta as seguintes fronteiras imediatas:
- A torre 1 faz fronteira com a torre 2
- A torre 2 faz fronteira com a torre 3
- A torre 3 faz fronteira com a torre 4
- A torre 2 faz fronteira com a torre 4."
5,"Você é o engenheiro chefe responsável por configurar uma nova rede de distribuição de torres GSM contendo 9 torres de transmissão, identificadas numericamente de 1 a 9.
Devido ao posicionamento geográfico, o seu mapeamento de topologia aponta as seguintes fronteiras imediatas:
- A torre 1 faz fronteira com a torre 2
- A torre 2 faz fronteira com a torre 3
- A torre 3 faz fronteira com a torre 4
- A torre 4 faz fronteira com a torre 5
- A torre 5 faz fronteira com a torre 6
- A torre 6 faz fronteira com a torre 7
- A torre 7 faz fronteira com a torre 8
- A torre 8 faz fronteira com a torre 9
- A torre 3 faz fronteira com a torre 8
- A torre 5 faz fronteira com a torre 7
- A torre 6 faz fronteira com a torre 8."
6,"Você é o engenheiro chefe responsável por configurar uma nova rede de distribuição de torres GSM contendo 16 torres de transmissão, identificadas numericamente de 1 a 16.
Devido ao posicionamento geográfico, o seu mapeamento de topologia aponta as seguintes fronteiras imediatas:
- A torre 1 faz fronteira com a torre 2
- A torre 2 faz fronteira com a torre 3
- A torre 3 faz fronteira com a torre 4
- A torre 4 faz fronteira com a torre 5
- A torre 5 faz fronteira com a torre 6
- A torre 6 faz fronteira com a torre 7
- A torre 7 faz fronteira com a torre 8
- A torre 8 faz fronteira com a torre 9
- A torre 9 faz fronteira com a torre 10
- A torre 10 faz fronteira com a torre 11
- A torre 11 faz fronteira com a torre 12
- A torre 12 faz fronteira com a torre 13
- A torre 13 faz fronteira com a torre 14
- A torre 14 faz fronteira com a torre 15
- A torre 15 faz fronteira com a torre 16
- A torre 1 faz fronteira com a torre 4
- A torre 1 faz fronteira com a torre 8
- A torre 2 faz fronteira com a torre 14
- A torre 4 faz fronteira com a torre 8
- A torre 4 faz fronteira com a torre 14
- A torre 4 faz fronteira com a torre 16
- A torre 5 faz fronteira com a torre 11
- A torre 5 faz fronteira com a torre 14
- A torre 6 faz fronteira com a torre 14
- A torre 8 faz fronteira com a torre 15
- A torre 8 faz fronteira com a torre 16
- A torre 10 faz fronteira com a torre 14."
7,"Você é o engenheiro chefe responsável por configurar uma nova rede de distribuição de torres GSM contendo 16 torres de transmissão, identificadas numericamente de 1 a 16.
Devido ao posicionamento geográfico, o seu mapeamento de topologia aponta as seguintes fronteiras imediatas:
- A torre 1 faz fronteira com a torre 2
- A torre 2 faz fronteira com a torre 3
- A torre 3 faz fronteira com a torre 4
- A torre 4 faz fronteira com a torre 5
- A torre 5 faz fronteira com a torre 6
- A torre 6 faz fronteira com a torre 7
- A torre 7 faz fronteira com a torre 8
- A torre 8 faz fronteira com a torre 9
- A torre 9 faz fronteira com a torre 10
- A torre 10 faz fronteira com a torre 11
- A torre 11 faz fronteira com a torre 12
- A torre 12 faz fronteira com a torre 13
- A torre 13 faz fronteira com a torre 14
- A torre 14 faz fronteira com a torre 15
- A torre 15 faz fronteira com a torre 16
- A torre 1 faz fronteira com a torre 5
- A torre 1 faz fronteira com a torre 7
- A torre 1 faz fronteira com a torre 16
- A torre 2 faz fronteira com a torre 15
- A torre 3 faz fronteira com a torre 12
- A torre 4 faz fronteira com a torre 15
- A torre 5 faz fronteira com a torre 7
- A torre 5 faz fronteira com a torre 14
- A torre 6 faz fronteira com a torre 8
- A torre 6 faz fronteira com a torre 9
- A torre 6 faz fronteira com a torre 14
- A torre 7 faz fronteira com a torre 13
- A torre 7 faz fronteira com a torre 15
- A torre 8 faz fronteira com a torre 10
- A torre 8 faz fronteira com a torre 13
- A torre 9 faz fronteira com a torre 12
- A torre 11 faz fronteira com a torre 16
- A torre 12 faz fronteira com a torre 15."
8,"Você é o engenheiro chefe responsável por configurar uma nova rede de distribuição de torres GSM contendo 16 torres de transmissão, identificadas numericamente de 1 a 16.
Devido ao posicionamento geográfico, o seu mapeamento de topologia aponta as seguintes fronteiras imediatas:
- A torre 1 faz fronteira com a torre 2
- A torre 2 faz fronteira com a torre 3
- A torre 3 faz fronteira com a torre 4
- A torre 4 faz fronteira com a torre 5
- A torre 5 faz fronteira com a torre 6
- A torre 6 faz fronteira com a torre 7
- A torre 7 faz fronteira com a torre 8
- A torre 8 faz fronteira com a torre 9
- A torre 9 faz fronteira com a torre 10
- A torre 10 faz fronteira com a torre 11
- A torre 11 faz fronteira com a torre 12
- A torre 12 faz fronteira com a torre 13
- A torre 13 faz fronteira com a torre 14
- A torre 14 faz fronteira com a torre 15
- A torre 15 faz fronteira com a torre 16
- A torre 2 faz fronteira com a torre 4
- A torre 3 faz fronteira com a torre 6
- A torre 3 faz fronteira com a torre 9
- A torre 3 faz fronteira com a torre 12
- A torre 3 faz fronteira com a torre 14
- A torre 3 faz fronteira com a torre 16
- A torre 4 faz fronteira com a torre 6
- A torre 4 faz fronteira com a torre 12
- A torre 4 faz fronteira com a torre 15
- A torre 5 faz fronteira com a torre 7
- A torre 6 faz fronteira com a torre 14
- A torre 7 faz fronteira com a torre 11
- A torre 9 faz fronteira com a torre 14
- A torre 9 faz fronteira com a torre 16
- A torre 11 faz fronteira com a torre 14
- A torre 12 faz fronteira com a torre 15
- A torre 12 faz fronteira com a torre 16."
9,"Você é o engenheiro chefe responsável por configurar uma nova rede de distribuição de torres GSM contendo 7 torres de transmissão, identificadas numericamente de 1 a 7.
Devido ao posicionamento geográfico, o seu mapeamento de topologia aponta as seguintes fronteiras imediatas:
- A torre 1 faz fronteira com a torre 2
- A torre 2 faz fronteira com a torre 3
- A torre 3 faz fronteira com a torre 4
- A torre 4 faz fronteira com a torre 5
- A torre 5 faz fronteira com a torre 6
- A torre 6 faz fronteira com a torre 7
- A torre 1 faz fronteira com a torre 4
- A torre 1 faz fronteira com a torre 6
- A torre 2 faz fronteira com a torre 5
- A torre 2 faz fronteira com a torre 7."
10,"Você é o engenheiro chefe responsável por configurar uma nova rede de distribuição de torres GSM contendo 14 torres de transmissão, identificadas numericamente de 1 a 14.
Devido ao posicionamento geográfico, o seu mapeamento de topologia aponta as seguintes fronteiras imediatas:
- A torre 1 faz fronteira com a torre 2
- A torre 2 faz fronteira com a torre 3
- A torre 3 faz fronteira com a torre 4
- A torre 4 faz fronteira com a torre 5
- A torre 5 faz fronteira com a torre 6
- A torre 6 faz fronteira com a torre 7
- A torre 7 faz fronteira com a torre 8
- A torre 8 faz fronteira com a torre 9
- A torre 9 faz fronteira com a torre 10
- A torre 10 faz fronteira com a torre 11
- A torre 11 faz fronteira com a torre 12
- A torre 12 faz fronteira com a torre 13
- A torre 13 faz fronteira com a torre 14
- A torre 1 faz fronteira com a torre 9
- A torre 1 faz fronteira com a torre 13
- A torre 2 faz fronteira com a torre 5
- A torre 2 faz fronteira com a torre 6
- A torre 2 faz fronteira com a torre 14
- A torre 6 faz fronteira com a torre 9
- A torre 6 faz fronteira com a torre 10
- A torre 6 faz fronteira com a torre 11
- A torre 6 faz fronteira com a torre 14
- A torre 7 faz fronteira com a torre 11
- A torre 8 faz fronteira com a torre 13."
