rodada,qtd_torres,qtd_conexoes,conexoes,resultado_z3
1,20,47,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [1, 7], [1, 10], [1, 12], [1, 16], [2, 9], [2, 10], [2, 15], [3, 7], [3, 9], [4, 9], [4, 10], [4, 13], [4, 18], [5, 7], [5, 9], [5, 17], [5, 19], [7, 10], [7, 16], [7, 20], [9, 13], [9, 16], [9, 19], [11, 14], [11, 17], [15, 17], [17, 19], [17, 20]]",UNSAT
2,15,25,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [1, 10], [1, 15], [2, 7], [2, 11], [2, 12], [3, 8], [4, 8], [4, 11], [4, 15], [6, 15], [7, 13]]",SAT
3,12,22,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [1, 5], [1, 7], [1, 9], [2, 9], [2, 11], [3, 9], [3, 12], [4, 7], [4, 11], [6, 11], [8, 10]]",SAT
4,10,12,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [1, 3], [3, 9], [5, 10]]",SAT
5,19,37,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [1, 6], [1, 17], [1, 19], [2, 12], [3, 5], [4, 7], [5, 8], [5, 10], [6, 12], [6, 19], [7, 9], [7, 15], [7, 17], [8, 14], [8, 15], [8, 19], [9, 17], [9, 19], [14, 19]]",UNSAT
6,8,10,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [3, 8], [4, 8], [5, 7]]",SAT
7,18,42,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [1, 5], [1, 14], [1, 16], [2, 11], [2, 13], [2, 18], [3, 14], [4, 7], [4, 13], [4, 14], [4, 16], [6, 12], [7, 13], [7, 16], [7, 18], [8, 11], [8, 12], [8, 14], [8, 15], [9, 11], [9, 13], [9, 14], [9, 17], [10, 12], [10, 13]]",UNSAT
8,12,18,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [1, 3], [1, 11], [2, 7], [3, 12], [4, 12], [8, 10], [9, 11]]",SAT
9,14,26,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [1, 5], [2, 12], [3, 9], [4, 8], [5, 11], [6, 13], [7, 10], [7, 13], [7, 14], [8, 12], [9, 12], [9, 13], [10, 14]]",SAT
10,18,29,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [1, 13], [1, 18], [2, 5], [2, 7], [3, 12], [4, 18], [5, 8], [5, 11], [8, 15], [10, 13], [11, 13], [14, 16]]",SAT
