rodada,qtd_torres,qtd_conexoes,conexoes,resultado_z3
1,8,8,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [6, 8]]",SAT
2,5,5,"[[1, 2], [2, 3], [3, 4], [4, 5], [2, 4]]",SAT
3,20,38,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [1, 19], [2, 4], [2, 7], [3, 11], [3, 17], [3, 18], [4, 6], [4, 8], [5, 13], [8, 11], [8, 16], [10, 12], [11, 15], [11, 17], [12, 17], [14, 19], [14, 20], [15, 20], [17, 20]]",SAT
4,19,38,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [1, 9], [2, 7], [2, 12], [3, 8], [3, 9], [3, 18], [4, 9], [4, 15], [4, 16], [5, 9], [5, 11], [6, 16], [7, 12], [7, 15], [7, 19], [10, 15], [10, 19], [11, 17], [13, 17], [15, 18]]",SAT
5,14,28,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [1, 4], [1, 7], [3, 5], [3, 8], [4, 11], [5, 8], [5, 9], [6, 10], [6, 11], [6, 12], [7, 11], [8, 12], [9, 12], [9, 13], [10, 14]]",SAT
6,10,14,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [1, 6], [2, 10], [3, 7], [4, 7], [5, 9]]",SAT
7,7,8,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [2, 4], [3, 5]]",SAT
8,17,30,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [1, 11], [2, 6], [2, 10], [2, 14], [4, 17], [5, 9], [6, 12], [6, 17], [7, 13], [8, 11], [8, 13], [9, 13], [9, 17], [13, 17]]",SAT
9,10,17,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [1, 4], [1, 8], [1, 10], [2, 8], [3, 10], [4, 7], [6, 8], [8, 10]]",SAT
10,18,44,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [1, 12], [1, 13], [1, 14], [1, 17], [2, 6], [2, 7], [2, 9], [2, 12], [2, 15], [2, 16], [3, 7], [3, 11], [3, 15], [3, 17], [4, 12], [5, 11], [5, 18], [6, 17], [8, 13], [8, 16], [9, 12], [9, 16], [9, 17], [10, 17], [11, 14], [11, 15], [14, 18]]",UNSAT
11,12,21,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [1, 11], [1, 12], [2, 9], [2, 12], [3, 8], [3, 9], [4, 6], [7, 9], [7, 10], [7, 11]]",UNSAT
12,8,10,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [2, 4], [4, 6], [5, 8]]",SAT
13,4,3,"[[1, 2], [2, 3], [3, 4]]",SAT
14,15,30,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [1, 3], [1, 6], [1, 12], [2, 5], [2, 9], [3, 14], [4, 8], [4, 10], [5, 9], [6, 9], [6, 13], [7, 12], [9, 14], [9, 15], [10, 12], [10, 15]]",SAT
15,3,2,"[[1, 2], [2, 3]]",SAT
16,10,18,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [1, 3], [1, 4], [2, 10], [3, 9], [4, 10], [5, 7], [6, 8], [6, 10], [7, 9]]",SAT
17,17,29,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [1, 6], [3, 9], [7, 9], [7, 10], [7, 16], [8, 11], [8, 12], [8, 13], [8, 17], [9, 16], [11, 15], [13, 15], [15, 17]]",SAT
18,11,16,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [1, 9], [1, 10], [4, 6], [6, 11], [7, 10], [8, 10]]",SAT
19,6,6,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [4, 6]]",SAT
20,13,22,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [1, 3], [1, 9], [1, 10], [2, 4], [2, 10], [3, 10], [4, 6], [4, 13], [8, 10], [8, 13]]",UNSAT
