rodada,qtd_torres,qtd_conexoes,conexoes,resultado_z3
1,18,34,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [1, 5], [1, 8], [1, 15], [2, 9], [3, 9], [3, 12], [4, 6], [4, 13], [6, 8], [6, 13], [6, 15], [7, 10], [9, 15], [9, 16], [10, 13], [13, 17], [14, 17]]",SAT
2,6,9,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [1, 3], [1, 5], [1, 6], [2, 6]]",SAT
3,9,11,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [1, 6], [3, 6], [3, 9]]",SAT
4,9,11,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [2, 9], [3, 5], [4, 8]]",SAT
5,9,15,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [2, 4], [2, 6], [3, 9], [4, 7], [4, 8], [4, 9], [7, 9]]",UNSAT
6,7,9,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [2, 6], [4, 6], [5, 7]]",SAT
7,5,4,"[[1, 2], [2, 3], [3, 4], [4, 5]]",SAT
8,17,39,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [1, 6], [1, 7], [1, 9], [1, 16], [2, 9], [3, 8], [3, 12], [3, 16], [5, 9], [5, 11], [6, 9], [6, 14], [6, 16], [7, 14], [8, 10], [8, 11], [8, 15], [10, 12], [11, 13], [11, 17], [12, 17], [14, 16], [14, 17]]",UNSAT
9,5,4,"[[1, 2], [2, 3], [3, 4], [4, 5]]",SAT
10,5,5,"[[1, 2], [2, 3], [3, 4], [4, 5], [2, 5]]",SAT
11,15,31,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [1, 7], [2, 6], [2, 7], [2, 9], [2, 11], [2, 14], [3, 7], [4, 12], [6, 10], [7, 9], [7, 10], [7, 13], [9, 13], [9, 14], [10, 15], [11, 15], [13, 15]]",SAT
12,7,7,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [4, 6]]",SAT
13,18,37,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [1, 3], [1, 6], [1, 14], [2, 10], [3, 18], [4, 6], [4, 10], [6, 11], [6, 12], [6, 16], [7, 9], [7, 15], [8, 13], [8, 17], [9, 11], [10, 13], [11, 17], [12, 17], [13, 17], [14, 18]]",SAT
14,15,29,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [2, 4], [2, 10], [2, 12], [3, 7], [4, 7], [4, 8], [4, 11], [4, 14], [5, 7], [6, 8], [7, 9], [8, 15], [9, 13], [10, 13], [11, 13]]",UNSAT
15,5,5,"[[1, 2], [2, 3], [3, 4], [4, 5], [1, 5]]",SAT
16,20,38,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [1, 3], [1, 15], [1, 16], [2, 12], [2, 20], [4, 6], [4, 8], [4, 10], [4, 12], [4, 18], [5, 14], [5, 16], [7, 10], [7, 17], [8, 20], [9, 17], [12, 20], [13, 16], [17, 20]]",SAT
17,11,19,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [2, 6], [2, 7], [2, 9], [4, 9], [4, 11], [5, 8], [5, 9], [5, 10], [9, 11]]",SAT
18,11,20,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [1, 5], [1, 9], [2, 7], [2, 11], [4, 7], [4, 10], [5, 11], [6, 8], [6, 10], [7, 11]]",SAT
19,3,2,"[[1, 2], [2, 3]]",SAT
20,6,5,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6]]",SAT
