rodada,qtd_torres,qtd_conexoes,conexoes,resultado_z3
1,17,40,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [1, 5], [1, 6], [1, 11], [1, 12], [3, 6], [3, 9], [3, 12], [3, 16], [4, 8], [4, 10], [5, 11], [5, 13], [6, 8], [6, 9], [6, 13], [7, 9], [8, 11], [8, 12], [8, 13], [9, 12], [9, 16], [10, 17], [11, 16], [12, 14]]",UNSAT
2,17,33,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [1, 10], [1, 11], [1, 12], [1, 14], [2, 5], [2, 12], [3, 11], [3, 12], [4, 9], [5, 12], [7, 15], [7, 17], [8, 14], [10, 12], [10, 13], [10, 14], [14, 16]]",UNSAT
3,18,36,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [1, 8], [2, 7], [2, 17], [3, 5], [3, 12], [4, 9], [4, 17], [5, 8], [6, 13], [7, 9], [7, 13], [7, 14], [7, 15], [8, 11], [8, 13], [9, 15], [10, 13], [10, 16], [11, 17]]",UNSAT
4,20,46,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [1, 11], [2, 4], [2, 9], [2, 16], [3, 7], [3, 12], [3, 15], [3, 18], [4, 6], [4, 11], [5, 9], [5, 12], [6, 10], [7, 14], [7, 17], [8, 14], [8, 15], [9, 13], [9, 15], [9, 18], [10, 12], [10, 17], [11, 15], [12, 16], [13, 15], [13, 20], [15, 17]]",SAT
5,8,11,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [1, 3], [3, 7], [4, 7], [4, 8]]",SAT
6,18,37,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [1, 8], [1, 16], [2, 7], [2, 15], [3, 14], [4, 8], [4, 10], [4, 18], [6, 9], [7, 9], [7, 12], [7, 16], [8, 11], [8, 15], [10, 14], [10, 15], [10, 18], [11, 16], [13, 15], [13, 16]]",SAT
7,16,30,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [2, 4], [2, 6], [2, 13], [3, 9], [3, 10], [5, 12], [6, 15], [7, 14], [7, 15], [8, 12], [8, 16], [9, 12], [10, 12], [12, 15], [13, 16]]",SAT
8,18,41,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [1, 4], [1, 16], [2, 6], [3, 6], [4, 9], [4, 12], [4, 13], [4, 17], [5, 12], [5, 13], [5, 17], [6, 10], [6, 11], [6, 16], [8, 12], [9, 18], [10, 13], [10, 15], [10, 18], [11, 15], [11, 16], [11, 18], [14, 18], [15, 17]]",UNSAT
9,14,25,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [2, 10], [2, 11], [3, 11], [3, 12], [3, 14], [4, 9], [4, 10], [5, 12], [7, 12], [9, 12], [11, 14], [12, 14]]",UNSAT
10,6,6,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [2, 6]]",SAT
11,10,17,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [1, 8], [1, 10], [2, 10], [3, 9], [5, 8], [5, 10], [7, 9], [7, 10]]",SAT
12,10,14,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [2, 6], [3, 7], [4, 10], [6, 9], [7, 10]]",SAT
13,11,16,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [4, 6], [5, 9], [6, 9], [6, 11], [7, 11], [8, 11]]",SAT
14,10,13,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [2, 4], [2, 9], [3, 5], [4, 6]]",SAT
15,17,42,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [1, 14], [1, 17], [2, 5], [2, 10], [2, 16], [2, 17], [3, 11], [3, 13], [3, 15], [4, 9], [4, 10], [5, 8], [5, 11], [5, 16], [5, 17], [6, 8], [6, 12], [6, 13], [7, 12], [7, 13], [7, 14], [8, 11], [8, 17], [9, 13], [9, 16], [11, 14]]",UNSAT
16,20,42,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [1, 11], [1, 12], [1, 13], [1, 18], [1, 19], [2, 6], [2, 16], [4, 7], [4, 9], [4, 15], [5, 7], [5, 9], [5, 13], [5, 15], [6, 10], [6, 12], [7, 19], [8, 13], [11, 16], [12, 16], [12, 18], [15, 20], [16, 19]]",SAT
17,4,3,"[[1, 2], [2, 3], [3, 4]]",SAT
18,14,22,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [1, 12], [2, 10], [3, 7], [3, 11], [4, 9], [4, 14], [8, 11], [10, 13], [12, 14]]",SAT
19,20,44,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [1, 12], [1, 20], [2, 4], [3, 8], [3, 10], [3, 13], [4, 6], [4, 8], [4, 15], [4, 16], [5, 16], [6, 18], [7, 11], [7, 14], [8, 12], [8, 18], [9, 15], [9, 16], [10, 12], [10, 13], [10, 15], [11, 15], [12, 14], [13, 18], [15, 19]]",SAT
20,18,40,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [1, 3], [1, 5], [1, 6], [1, 11], [1, 15], [1, 16], [1, 17], [2, 14], [3, 12], [3, 13], [4, 9], [4, 11], [4, 18], [5, 16], [6, 15], [7, 15], [8, 15], [8, 17], [9, 15], [9, 18], [11, 15], [11, 17], [12, 16]]",UNSAT
