rodada,qtd_torres,qtd_conexoes,conexoes,resultado_z3
1,3,2,"[[1, 2], [2, 3]]",SAT
2,12,20,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [1, 4], [1, 5], [1, 8], [1, 12], [2, 12], [3, 10], [5, 8], [5, 10], [5, 11]]",SAT
3,11,15,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [1, 8], [1, 11], [2, 10], [3, 10], [4, 11]]",SAT
4,8,9,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [2, 8], [3, 7]]",SAT
5,20,41,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [1, 12], [1, 19], [2, 6], [2, 16], [2, 18], [5, 7], [5, 12], [5, 18], [6, 15], [6, 18], [6, 20], [7, 11], [8, 10], [9, 16], [9, 19], [11, 13], [11, 16], [13, 16], [13, 20], [14, 16], [14, 18], [15, 17]]",SAT
6,20,49,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [2, 6], [2, 8], [2, 13], [2, 18], [2, 20], [3, 5], [3, 10], [3, 13], [3, 19], [4, 6], [4, 13], [5, 9], [5, 12], [6, 17], [6, 18], [6, 19], [7, 9], [7, 11], [7, 19], [8, 20], [9, 12], [9, 15], [10, 14], [10, 16], [10, 18], [11, 14], [11, 19], [12, 18], [13, 20], [17, 20]]",UNSAT
7,15,22,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [1, 8], [3, 6], [3, 9], [4, 10], [4, 15], [5, 14], [6, 10], [6, 15]]",SAT
8,7,8,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [3, 5], [4, 6]]",SAT
9,18,34,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [1, 15], [2, 8], [2, 10], [3, 9], [4, 8], [6, 12], [6, 15], [6, 17], [7, 10], [7, 12], [8, 15], [9, 14], [9, 16], [10, 12], [10, 14], [12, 17], [13, 15]]",SAT
10,9,13,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [1, 6], [1, 7], [4, 6], [4, 8], [4, 9]]",SAT
11,3,2,"[[1, 2], [2, 3]]",SAT
12,12,17,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [1, 4], [1, 12], [3, 8], [4, 6], [5, 9], [7, 11]]",SAT
13,8,9,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [2, 7], [3, 6]]",SAT
14,9,11,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [2, 6], [5, 8], [6, 9]]",SAT
15,10,11,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [5, 8], [6, 10]]",SAT
16,7,9,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [1, 3], [2, 6], [4, 7]]",SAT
17,8,9,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [2, 7], [5, 7]]",SAT
18,4,4,"[[1, 2], [2, 3], [3, 4], [2, 4]]",SAT
19,13,25,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [1, 6], [1, 11], [2, 13], [4, 6], [4, 12], [5, 11], [7, 9], [7, 12], [8, 11], [9, 11], [9, 12], [9, 13], [10, 13]]",SAT
20,5,4,"[[1, 2], [2, 3], [3, 4], [4, 5]]",SAT
