rodada,qtd_torres,qtd_conexoes,conexoes,resultado_z3
1,13,17,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [2, 12], [2, 13], [3, 11], [3, 13], [7, 12]]",SAT
2,9,13,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [1, 6], [2, 4], [4, 6], [4, 7], [5, 7]]",UNSAT
3,10,15,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [2, 4], [2, 5], [2, 7], [5, 9], [6, 8], [6, 9]]",SAT
4,16,30,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [1, 7], [1, 15], [1, 16], [2, 10], [4, 15], [4, 16], [5, 7], [5, 9], [5, 10], [6, 14], [6, 16], [7, 10], [11, 13], [11, 14], [12, 16]]",UNSAT
5,12,23,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [1, 7], [1, 11], [2, 8], [2, 10], [3, 9], [3, 11], [3, 12], [5, 9], [5, 11], [5, 12], [6, 10], [7, 11]]",SAT
6,19,48,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [1, 3], [1, 6], [1, 18], [2, 9], [3, 7], [3, 8], [3, 15], [4, 10], [4, 13], [5, 13], [6, 12], [7, 10], [7, 13], [7, 14], [7, 16], [8, 19], [9, 13], [9, 17], [9, 19], [10, 12], [10, 16], [10, 17], [11, 16], [12, 14], [12, 16], [13, 19], [14, 16], [14, 18], [14, 19], [16, 18]]",UNSAT
7,15,24,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [1, 5], [1, 8], [1, 13], [1, 15], [2, 6], [4, 12], [5, 15], [6, 9], [8, 10], [9, 14]]",SAT
8,16,31,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [1, 15], [2, 14], [3, 6], [4, 13], [5, 15], [6, 14], [6, 16], [7, 10], [7, 14], [7, 15], [8, 10], [8, 12], [9, 14], [10, 13], [11, 14], [13, 15]]",SAT
9,11,15,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [1, 3], [1, 6], [1, 7], [4, 11], [6, 8]]",SAT
10,9,8,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9]]",SAT
