rodada,qtd_torres,qtd_conexoes,conexoes,resultado_z3
1,17,36,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [1, 3], [1, 5], [1, 9], [1, 12], [2, 7], [4, 14], [4, 15], [5, 12], [5, 15], [6, 8], [6, 13], [6, 15], [7, 16], [8, 10], [8, 14], [8, 17], [9, 11], [9, 13], [10, 17], [12, 16]]",UNSAT
2,14,26,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [1, 4], [1, 10], [1, 11], [2, 4], [2, 10], [3, 5], [3, 6], [3, 11], [4, 8], [5, 11], [6, 12], [8, 14], [10, 12]]",UNSAT
3,20,43,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [1, 4], [1, 16], [1, 19], [2, 20], [3, 11], [4, 15], [4, 16], [5, 8], [5, 20], [6, 8], [7, 11], [8, 11], [8, 16], [8, 17], [8, 18], [9, 17], [10, 13], [11, 13], [11, 14], [12, 14], [12, 17], [14, 19], [15, 17], [17, 20]]",UNSAT
4,14,22,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [1, 3], [1, 14], [2, 5], [2, 7], [4, 8], [7, 11], [7, 14], [10, 12], [11, 14]]",SAT
5,16,39,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [1, 5], [2, 4], [2, 9], [2, 14], [3, 7], [3, 10], [3, 11], [3, 12], [3, 13], [4, 6], [4, 8], [4, 13], [4, 16], [5, 13], [6, 13], [6, 15], [7, 13], [8, 13], [9, 11], [9, 13], [9, 15], [9, 16], [10, 12], [12, 16]]",UNSAT
6,13,29,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [1, 4], [2, 9], [2, 12], [3, 6], [3, 8], [3, 9], [3, 12], [4, 6], [4, 8], [4, 9], [4, 12], [6, 9], [6, 10], [6, 12], [8, 10], [8, 13], [9, 11]]",UNSAT
7,13,23,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [2, 9], [3, 7], [3, 11], [3, 12], [4, 6], [5, 13], [6, 8], [6, 11], [7, 12], [7, 13], [11, 13]]",SAT
8,6,8,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [1, 6], [2, 6], [3, 6]]",SAT
9,12,16,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [1, 7], [3, 10], [4, 10], [5, 9], [8, 12]]",SAT
10,10,14,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [2, 6], [3, 5], [3, 10], [4, 9], [5, 9]]",SAT
11,11,16,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [1, 3], [1, 10], [2, 4], [3, 9], [4, 9], [5, 10]]",SAT
