rodada,qtd_torres,qtd_conexoes,conexoes,resultado_z3
1,7,11,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [1, 5], [2, 6], [3, 5], [3, 7], [4, 6]]",SAT
2,18,29,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [1, 9], [1, 15], [2, 10], [3, 7], [5, 11], [6, 8], [7, 9], [7, 15], [9, 13], [9, 17], [10, 16], [15, 17]]",SAT
3,9,9,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [4, 9]]",SAT
4,5,5,"[[1, 2], [2, 3], [3, 4], [4, 5], [3, 5]]",SAT
5,13,22,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [1, 4], [1, 8], [1, 13], [2, 8], [2, 13], [3, 5], [3, 13], [7, 13], [8, 11], [11, 13]]",SAT
6,16,29,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [1, 8], [1, 15], [2, 4], [2, 13], [2, 16], [3, 10], [3, 11], [3, 14], [4, 14], [5, 15], [7, 9], [8, 13], [10, 13], [11, 13]]",SAT
7,11,17,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [1, 4], [1, 6], [2, 9], [2, 10], [3, 5], [3, 11], [6, 8]]",SAT
8,7,9,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [1, 6], [2, 4], [4, 7]]",SAT
9,5,8,"[[1, 2], [2, 3], [3, 4], [4, 5], [1, 3], [1, 5], [2, 5], [3, 5]]",UNSAT
10,4,3,"[[1, 2], [2, 3], [3, 4]]",SAT
11,19,37,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [1, 5], [1, 6], [1, 8], [3, 13], [3, 17], [4, 15], [6, 11], [6, 16], [8, 14], [8, 16], [8, 17], [9, 13], [9, 14], [11, 13], [13, 16], [13, 17], [14, 19], [15, 19], [17, 19]]",SAT
12,12,21,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [1, 4], [1, 9], [1, 12], [2, 8], [3, 9], [6, 8], [6, 10], [6, 12], [8, 10], [8, 11]]",SAT
13,4,4,"[[1, 2], [2, 3], [3, 4], [2, 4]]",SAT
14,9,12,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [1, 6], [2, 9], [3, 6], [3, 9]]",SAT
15,5,4,"[[1, 2], [2, 3], [3, 4], [4, 5]]",SAT
16,8,10,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [2, 6], [4, 7], [5, 8]]",SAT
17,13,25,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [1, 3], [1, 6], [2, 9], [2, 10], [2, 11], [3, 6], [4, 12], [5, 8], [5, 10], [5, 11], [5, 12], [6, 11], [9, 11]]",UNSAT
18,3,2,"[[1, 2], [2, 3]]",SAT
19,16,34,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [1, 11], [1, 13], [3, 8], [3, 15], [4, 13], [5, 7], [5, 11], [5, 13], [5, 14], [6, 11], [6, 14], [6, 15], [7, 16], [8, 14], [8, 16], [10, 15], [11, 15], [12, 16], [13, 16]]",UNSAT
20,6,6,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [3, 5]]",SAT
