rodada,qtd_torres,qtd_conexoes,conexoes,resultado_z3
1,3,2,"[[1, 2], [2, 3]]",SAT
2,13,17,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [1, 3], [1, 4], [1, 6], [1, 10], [5, 11]]",SAT
3,17,34,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [2, 5], [2, 9], [3, 6], [3, 11], [4, 15], [5, 8], [6, 10], [6, 14], [8, 11], [9, 11], [9, 13], [9, 14], [9, 16], [10, 13], [10, 14], [11, 14], [11, 16], [12, 17]]",UNSAT
4,16,36,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [1, 3], [1, 7], [1, 8], [1, 10], [2, 5], [2, 13], [2, 15], [2, 16], [3, 5], [3, 14], [4, 9], [5, 7], [5, 10], [5, 11], [7, 9], [8, 16], [9, 12], [9, 13], [9, 15], [11, 14], [12, 15]]",SAT
5,19,35,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [1, 18], [2, 17], [3, 17], [4, 10], [4, 17], [5, 11], [6, 8], [6, 13], [6, 14], [8, 15], [8, 16], [8, 17], [10, 13], [10, 17], [11, 15], [12, 14], [12, 17]]",SAT
6,10,12,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [1, 4], [3, 5], [5, 7]]",SAT
7,14,20,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [1, 9], [2, 12], [3, 6], [5, 8], [7, 9], [9, 13], [11, 13]]",SAT
8,10,14,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [1, 4], [2, 10], [3, 8], [5, 9], [6, 9]]",SAT
9,11,17,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [1, 10], [2, 4], [2, 6], [2, 8], [2, 9], [7, 10], [8, 11]]",SAT
10,13,25,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [1, 6], [1, 8], [1, 12], [2, 4], [2, 6], [2, 7], [3, 8], [3, 10], [5, 7], [5, 10], [6, 10], [6, 12], [8, 10]]",SAT
